"cluster","count","krate","bbrate","barrels","solids","flares","under","topped","weak"
1,161,0.177376678335404,0.0732989466459627,0.0585302558198758,0.059454403136646,0.252102703242236,0.243036782863354,0.337609973242236,0.027063239757764
2,170,0.256554694588235,0.100889906294118,0.0961046936941176,0.0660039200823529,0.234582831705882,0.248914197976471,0.306700267752941,0.0302404550882353
3,119,0.221056563731092,0.0718163737058824,0.0399968831932773,0.044242068184874,0.244515361831933,0.241542360252101,0.349725717378151,0.037311064907563
