"cluster","count","krate","bbrate","barrels","solids","flares","under","topped","weak"
1,201,0.238545817,0.095396931,0.084893883,0.068181818,0.233657858,0.27028181,0.288188002,0.027985075
2,249,0.202635914,0.070646766,0.042956412,0.050053248,0.250148192,0.225328947,0.355783309,0.031696706
